name,description,leverage,return,buy_hold,trades,win_rate,max_dd,sharpe,final_equity,avg_trade
5x Leverage EXTREME,5x leverage - high risk/high reward,5.0,54.17519016200001,126.59310890020055,31,41.935483870967744,-8.705594733195277,1.983647374904013,154175.190162,1.5149604359296687
3x Leverage + RSI >65,3x position on strong momentum only,3.0,19.526547329399996,122.117823833034,60,26.666666666666668,-19.125887877872717,0.8904811201944871,119526.5473294,0.4614366568074235
3x EMA + RSI + Volume,3x leverage with all confirmations,3.0,18.52289835648003,126.59310890020055,60,26.666666666666668,-23.71267539253632,0.7112688278673627,118522.89835648003,0.4308335821244347
2x Leverage GC 30/150,2x position sizing with tight risk management,2.0,16.757073568799882,122.117823833034,75,34.66666666666667,-15.598101122973196,0.9367249526031424,116757.07356879988,0.42952566857452634
2x Leverage + Volume,2x leverage on volume breakouts,2.0,15.244596594399903,122.117823833034,46,32.608695652173914,-13.746175281555029,0.9806235721034936,115244.5965943999,0.6236770620751342
2x Leverage EMA 20/100,Faster signals with 2x sizing,2.0,14.32900233420005,127.64474894081712,72,33.33333333333333,-22.369119383597567,0.7702052385301517,114329.00233420005,0.47786110658811776
3x Short-term SMA 15/75,3x leverage on short-term trend,3.0,13.87731792420006,124.77945821944381,86,27.906976744186046,-27.101043906868494,0.5573788126069958,113877.31792420006,0.2570257984473079
2x EMA 30/150 Safe,2x leverage with wider stops,2.0,12.073702407999969,127.64474894081712,49,32.6530612244898,-16.040038477640184,0.6853641886802563,112073.70240799997,0.597487928123952
4x Leverage GC 25/125,4x leverage medium-fast signals,4.0,2.728338450079958,123.61383312720011,22,22.727272727272727,-8.688806815853134,0.2503859692193344,102728.33845007996,0.20612206338619377
