timeframe,bars,return,buy_hold,trades,win_rate,max_dd,sharpe,avg_trade,final_equity,avg_duration
1H,7768,34.84838297999999,122.117823833034,30,30.0,-20.110765591756852,0.9518446410776197,1.1803895877466664,134848.38298,5 days 03:00:00
4H,1943,19.235585779999994,63.06431778881261,7,42.857142857142854,-17.922092860502058,0.6742975834922128,-1.1634536794169148,119235.58578,17 days 03:00:00
Daily,324,6.066282680000004,35.76273052673,0,,-3.3567581788105816,0.836654022327278,,106066.28268,nan
