Strategy,Return %,Buy & Hold %,Max DD %,Sharpe,Sortino,Expo %,EV %,Trades,Data,Time
AccumulationIgnition,3.82,"1,421",-0.97,0.483,1.843,0.27,0.498,11,AAPL-15m-12Y,11-05-2025 08:35
AccumulationIgnition,3.21,490.65,-3.67,0.46,1.019,0.2,0.213,20,BTC-15m-150wks,11-05-2025 08:35
AccumulationIgnition,2.19,257.48,-6.27,0.17,0.303,0.57,0.005,56,ETH-15m-150wks,11-05-2025 08:34
AccumulationIgnition,5.15,490.65,-3.99,0.502,0.993,0.33,0.119,32,BTC-15m-150wks,11-05-2025 08:34
AccumulationIgnition,5.84,106.06,-1.77,0.72,2.245,3.67,13.582,1,GOOG-hourly,11-04-2025 10:57
AccumulationIgnition,2.67,"1,421",-5.11,0.112,0.182,1.04,0.48,6,AAPL-15m-12Y,11-04-2025 10:57
AccumulationIgnition,7.42,957.6,-5.09,0.399,0.902,0.57,2.752,3,ETH-1h-250wks,11-04-2025 10:57
AccumulationIgnition,8.11,"36,115",-4.72,0.312,1.133,0.37,2.243,4,BTC-1h-500wks,11-04-2025 10:57
AccumulationIgnition,1.01,490.65,-5.43,0.079,0.16,0.7,0.355,7,BTC-15m-150wks,11-04-2025 10:57
AccumulationIgnition,2.66,127.77,-3.51,0.533,1.148,0.55,1.141,2,BTC-USD-15m.csv,11-04-2025 10:57
AccumulationIgnition,6.08,106.06,-4.33,0.698,1.273,16.42,1.68,14,GOOG-hourly,11-04-2025 10:56
AccumulationIgnition,4.28,-7.67,-5.31,1.773,3.996,23.29,0.708,8,TSLA-5m-30D,11-04-2025 10:56
AccumulationIgnition,1.29,"1,421",-22.29,0.014,0.02,31.55,0.009,250,AAPL-15m-12Y,11-04-2025 10:56
AccumulationIgnition,2.83,410.61,-11.43,0.154,0.247,3.33,0.216,41,SOL-1h-250wks,11-04-2025 10:56
AccumulationIgnition,5.41,"33,600",-3.99,0.233,0.492,2.8,1.72,17,BTC-6h-1000wks,11-04-2025 10:56
AccumulationIgnition,5.41,"36,242",-3.99,0.235,0.496,2.86,1.72,17,BTC-6h-500wks,11-04-2025 10:56
AdaptiveAccumulation,2.28,73.38,-3.54,0.375,0.653,3.52,0.782,6,TSLA-hourly,01-10-2028 10:34
AdaptiveAccumulation,5.44,-40.88,-4.87,0.553,1.135,3.7,1.037,7,NVDA-hourly,01-10-2028 10:34
AdaptiveAccumulation,1.88,-7.67,-0.63,2.613,-,2.01,2.47,1,TSLA-5m-30D,01-10-2028 10:34
AdaptiveAccumulation,4.26,48.21,-1.12,0.578,2.427,0.26,1.938,3,AAPL-15m-3Y,01-10-2028 10:34
AdaptiveAccumulation,5.99,"1,421",-2.32,0.347,0.972,0.24,0.975,8,AAPL-15m-12Y,01-10-2028 10:34
AdaptiveAccumulation,8.5,426.02,-2.42,0.639,1.408,3.24,7.344,11,SOL-6h-400wks,01-10-2028 10:34
AdaptiveAccumulation,3.26,410.61,-14.07,0.13,0.24,3.02,0.049,62,SOL-1h-250wks,01-10-2028 10:34
AdaptiveAccumulation,10.61,547.15,-6.24,0.437,1.004,2.05,2.885,15,ETH-6h-400wks,01-10-2028 10:34
AdaptiveAccumulation,14.61,957.6,-12.57,0.405,0.863,2.64,0.269,65,ETH-1h-250wks,01-10-2028 10:34
AdaptiveAccumulation,2.75,490.65,-2.53,0.391,0.881,0.26,0.159,9,BTC-15m-150wks,01-10-2028 10:34
AdaptiveAccumulation,3.42,127.77,-1.82,1.042,4.914,0.24,1.347,3,BTC-USD-15m.csv,01-10-2028 10:34
AdaptiveAccumulation,11.75,73.38,-2.44,1.465,4.501,7.34,4.077,11,TSLA-hourly,01-10-2028 10:31
AdaptiveAccumulation,4.22,-40.88,-2.73,0.72,1.436,6.14,0.988,13,NVDA-hourly,01-10-2028 10:31
AdaptiveAccumulation,5.88,106.06,-1.68,1.338,2.713,7.6,1.24,11,GOOG-hourly,01-10-2028 10:31
AdaptiveAccumulation,6.9,48.21,-5.75,0.521,0.821,6.81,0.188,59,AAPL-15m-3Y,01-10-2028 10:31
AdaptiveAccumulation,28.53,"1,421",-14.43,0.489,0.772,5.24,0.232,172,AAPL-15m-12Y,01-10-2028 10:31
AdaptiveAccumulation,1.67,426.02,-2.77,0.189,0.303,5.58,-0.193,21,SOL-6h-400wks,01-10-2028 10:31
AdaptiveAccumulation,29.32,410.61,-5.68,0.948,1.984,9.17,0.583,152,SOL-1h-250wks,01-10-2028 10:31
AdaptiveAccumulation,1.15,730.52,-1.06,0.715,-,0.02,1.204,1,SOL-15m-100wks,01-10-2028 10:31
AdaptiveAccumulation,4.22,37.98,-1.17,2.397,16.449,0.14,1.415,5,SOL-1m-8wks,01-10-2028 10:31
AdaptiveAccumulation,7.22,547.15,-7.68,0.35,0.602,7.71,0.833,46,ETH-6h-400wks,01-10-2028 10:31
AdaptiveAccumulation,33.68,957.6,-13.81,0.809,1.6,9.88,0.479,197,ETH-1h-250wks,01-10-2028 10:31
AdaptiveAccumulation,29.8,257.48,-8.5,0.893,1.848,4.37,0.218,203,ETH-15m-150wks,01-10-2028 10:31
AdaptiveAccumulation,2.64,145.36,-2,1.216,6.187,0.04,0.451,7,BTC-5m-70wks,01-10-2028 10:31
AdaptiveAccumulation,2.88,"36,115",-3.3,0.186,0.345,0.2,0.601,17,BTC-1h-500wks,01-10-2028 10:31
AdaptiveAccumulation,2.21,73.38,-8.82,0.185,0.317,26.3,0.25,34,TSLA-hourly,01-10-2028 10:28
AdaptiveAccumulation,10.81,106.06,-4,0.952,1.599,29.15,0.726,34,GOOG-hourly,01-10-2028 10:28
AdaptiveAccumulation,72.66,"1,421",-16.44,0.527,0.943,23.44,0.163,542,AAPL-15m-12Y,01-10-2028 10:28
AdaptiveAccumulation,34.27,426.02,-6.17,1.02,1.966,32.72,5.606,53,SOL-6h-400wks,01-10-2028 10:28
AdaptiveAccumulation,12.01,410.61,-20.93,0.26,0.468,30.13,-0.066,328,SOL-1h-250wks,01-10-2028 10:28
AdaptiveAccumulation,1.64,730.52,-1.96,0.508,1.241,0.12,0.719,4,SOL-15m-100wks,01-10-2028 10:28
AdaptiveAccumulation,52.44,547.15,-9.36,1,1.882,30.01,4.146,99,ETH-6h-400wks,01-10-2028 10:28
AdaptiveAccumulation,47.28,957.6,-18.82,0.702,1.356,33.27,0.356,405,ETH-1h-250wks,01-10-2028 10:28
AdaptiveAccumulation,62.37,257.48,-16.38,0.792,2.013,23.16,0.187,633,ETH-15m-150wks,01-10-2028 10:28
AdaptiveAccumulation,7.22,249.6,-5.41,0.902,1.441,46.86,5.088,9,BTC-1d-100wks,01-10-2028 10:28
AdaptiveAccumulation,10.6,145.36,-4.02,1.156,3.824,0.46,0.346,36,BTC-5m-70wks,01-10-2028 10:28
AdaptiveAccumulation,8.5,"36,115",-8.54,0.177,0.429,0.85,0.378,40,BTC-1h-500wks,01-10-2028 10:28
AdaptiveAccumulation,2.82,490.65,-17.34,0.074,0.138,15.4,0.055,406,BTC-15m-150wks,01-10-2028 10:28
AdaptiveCalibrator,14.88,73.38,-15.59,0.57,0.775,19.92,1.023,53,TSLA-hourly,11-08-2025 09:20
AdaptiveCalibrator,7.73,-40.88,-6.35,0.507,0.905,17.97,0,53,NVDA-hourly,11-08-2025 09:20
AdaptiveCalibrator,21.82,292.69,-2.92,1.078,2.602,7.59,7.203,24,SOL-1d-1000wks,11-08-2025 09:20
AdaptiveCalibrator,32.18,426.02,-6.57,0.872,1.747,19.63,1.114,123,SOL-6h-400wks,11-08-2025 09:20
AdaptiveCalibrator,43.4,410.61,-23.04,0.532,1.103,18.02,0.094,638,SOL-1h-250wks,11-08-2025 09:20
AdaptiveCalibrator,2.69,37.98,-2.42,1.506,7.668,0.21,0.153,22,SOL-1m-8wks,11-08-2025 09:20
AdaptiveCalibrator,19.18,"13,579",-8.38,0.325,0.484,10.97,2.289,89,ETH-1d-1000wks,11-08-2025 09:20
AdaptiveCalibrator,49.28,547.15,-6.47,0.763,1.466,17.05,0.947,206,ETH-6h-400wks,11-08-2025 09:20
AdaptiveCalibrator,87.55,957.6,-18.82,0.786,1.768,16.44,0.111,653,ETH-1h-250wks,11-08-2025 09:20
AdaptiveCalibrator,5.27,249.6,-2.17,0.96,1.89,9.14,3.971,6,BTC-1d-100wks,11-08-2025 09:20
AdaptiveCalibrator,36.86,"29,373",-5.8,0.493,0.743,14.2,2.604,95,BTC-1d-1000wks,11-08-2025 09:20
AdaptiveCalibrator,121.21,"33,600",-10.99,0.593,1.064,13.21,0.911,319,BTC-6h-1000wks,11-08-2025 09:20
AdaptiveCalibrator,100.06,"36,242",-10.98,0.528,0.935,12.97,0.859,307,BTC-6h-500wks,11-08-2025 09:20
AdaptiveCalibrator,2.52,145.36,-5,0.283,0.42,0.75,0.044,95,BTC-5m-70wks,11-08-2025 09:20
AdaptiveCalibrator,30.19,490.65,-7.45,0.834,1.833,4.47,0.113,370,BTC-15m-150wks,11-08-2025 09:20
AdaptiveCalibrator,16.6,127.77,-6.1,1.278,4.074,4.36,0.166,116,BTC-USD-15m.csv,11-08-2025 09:20
AdaptiveCalibrator,18.25,73.38,-16.78,0.581,0.815,30.69,0.62,84,TSLA-hourly,11-08-2025 09:19
AdaptiveCalibrator,1.23,48.21,-6.37,0.113,0.184,3.77,0.071,46,AAPL-15m-3Y,11-08-2025 09:19
AdaptiveCalibrator,29.91,292.69,-4.74,1.005,1.923,19.02,4.924,52,SOL-1d-1000wks,11-08-2025 09:19
AdaptiveCalibrator,52.53,426.02,-11.05,1.07,2.196,31.57,1.073,192,SOL-6h-400wks,11-08-2025 09:19
AdaptiveCalibrator,85.42,410.61,-28.15,0.631,1.311,29.29,0.105,997,SOL-1h-250wks,11-08-2025 09:19
AdaptiveCalibrator,26.14,"13,579",-10.69,0.276,0.403,20.56,1.885,173,ETH-1d-1000wks,11-08-2025 09:19
AdaptiveCalibrator,75.01,547.15,-10.58,0.757,1.441,28.51,0.557,351,ETH-6h-400wks,11-08-2025 09:19
AdaptiveCalibrator,38.77,957.6,-23.83,0.314,0.586,26.95,-0.014,1054,ETH-1h-250wks,11-08-2025 09:19
AdaptiveCalibrator,1.73,257.48,-26.93,0.034,0.056,9.24,0.042,688,ETH-15m-150wks,11-08-2025 09:19
AdaptiveCalibrator,3.63,249.6,-4.73,0.469,0.829,16.14,-0.094,13,BTC-1d-100wks,11-08-2025 09:19
AdaptiveCalibrator,50.33,"29,373",-10.84,0.432,0.64,21.89,1.256,174,BTC-1d-1000wks,11-08-2025 09:19
AdaptiveCalibrator,54.42,"33,600",-37.42,0.275,0.417,20.31,0.311,570,BTC-6h-1000wks,11-08-2025 09:19
AdaptiveCalibrator,39.73,"36,242",-37.41,0.216,0.323,20.21,0.289,555,BTC-6h-500wks,11-08-2025 09:19
AdaptiveCalibrator,3.33,490.65,-16.67,0.1,0.154,6.63,0.002,489,BTC-15m-150wks,11-08-2025 09:19
AdaptiveCalibrator,2.87,292.69,-14.39,0.062,0.092,45.28,0.143,190,SOL-1d-1000wks,11-08-2025 09:18
AdaptiveCalibrator,42.63,426.02,-16.37,0.701,1.239,52.59,0.225,459,SOL-6h-400wks,11-08-2025 09:18
AdaptiveCalibrator,65.73,"13,579",-28.03,0.357,0.569,55.16,0.661,543,ETH-1d-1000wks,11-08-2025 09:18
AdaptiveCalibrator,70.74,547.15,-15.85,0.587,1.042,52.24,0.209,805,ETH-6h-400wks,11-08-2025 09:18
AdaptiveCalibrator,4.34,957.6,-32.54,0.034,0.057,45.09,-0.014,2396,ETH-1h-250wks,11-08-2025 09:18
AdaptiveCalibrator,10.07,249.6,-4.24,0.925,1.575,40.57,0.919,42,BTC-1d-100wks,11-08-2025 09:18
AdaptiveCalibrator,105.69,"29,373",-18.63,0.474,0.744,50.18,0.574,526,BTC-1d-1000wks,11-08-2025 09:18
AdaptiveCalibrator,2.53,145.36,-2.57,0.811,22.69,0.03,0.371,10,BTC-5m-70wks,11-08-2025 09:18
AdaptiveEnvelop,1.88,426.02,-3.77,0.232,0.426,0.33,0.745,5,SOL-6h-400wks,11-08-2025 09:18
AdaptiveEnvelop,5.59,410.61,-8.72,0.248,0.47,0.9,0.212,59,SOL-1h-250wks,11-08-2025 09:18
AdaptiveEnvelop,2.84,"13,579",0,0.329,-,0.03,13.142,1,ETH-1d-1000wks,11-08-2025 09:18
AdaptiveEnvelop,9,547.15,-4.4,0.496,1.015,0.52,2.599,12,ETH-6h-400wks,11-08-2025 09:18
AdaptiveEnvelop,2.77,957.6,-6.3,0.148,0.279,0.36,-0.135,43,ETH-1h-250wks,11-08-2025 09:18
AdaptiveEnvelop,4.28,257.48,-3.39,0.529,1.391,0.38,-0.089,89,ETH-15m-150wks,11-08-2025 09:18
AdaptiveEnvelop,2.43,249.6,-0.66,0.878,2.788,1.86,7.134,1,BTC-1d-100wks,11-08-2025 09:18
AdaptiveEnvelop,3.86,"33,600",-1.12,0.399,1.631,0.08,1.159,4,BTC-6h-1000wks,11-08-2025 09:18
AdaptiveEnvelop,3.86,"36,242",-1.12,0.403,1.647,0.08,1.159,4,BTC-6h-500wks,11-08-2025 09:18
AdaptiveEnvelop,21.64,73.38,-10.2,0.681,1.191,16.02,1.005,36,TSLA-hourly,11-08-2025 09:14
AdaptiveEnvelop,5.82,292.69,-8.45,0.324,0.56,2.2,29.238,1,SOL-1d-1000wks,11-08-2025 09:14
AdaptiveEnvelop,1.61,426.02,-17.86,0.054,0.092,5.15,0.766,31,SOL-6h-400wks,11-08-2025 09:14
AdaptiveEnvelop,5.97,730.52,-7.72,0.579,1.2,0.1,2.143,3,SOL-15m-100wks,11-08-2025 09:14
AdaptiveEnvelop,51.89,"13,579",-24.17,0.478,0.927,2.48,57.887,5,ETH-1d-1000wks,11-08-2025 09:14
AdaptiveEnvelop,117.87,547.15,-12.99,0.862,1.739,8.79,2.655,60,ETH-6h-400wks,11-08-2025 09:14
AdaptiveEnvelop,3.35,257.48,-10.82,0.186,0.474,0.3,0.184,25,ETH-15m-150wks,11-08-2025 09:14
AdaptiveEnvelop,3.59,249.6,-7.19,0.315,0.479,7.14,3.208,3,BTC-1d-100wks,11-08-2025 09:14
AdaptiveEnvelop,77.14,"29,373",-25.82,0.441,0.658,5.75,12.71,11,BTC-1d-1000wks,11-08-2025 09:14
AdaptiveEnvelop,80.34,"33,600",-23.75,0.351,0.544,4.37,2.14,40,BTC-6h-1000wks,11-08-2025 09:14
AdaptiveEnvelop,30.44,"36,242",-23.76,0.175,0.25,4.05,1.196,39,BTC-6h-500wks,11-08-2025 09:14
AdaptiveSqueeze,5.18,73.38,-1.51,0.742,2.699,2.1,3.405,8,TSLA-hourly,11-08-2025 09:20
AdaptiveSqueeze,9.03,426.02,-1.97,1.145,2.52,3.58,9.851,21,SOL-6h-400wks,11-08-2025 09:20
AdaptiveSqueeze,3.59,410.61,-8.04,0.147,0.231,3.64,1.351,107,SOL-1h-250wks,11-08-2025 09:20
AdaptiveSqueeze,7.03,547.15,-4.86,0.388,0.705,3.33,4.138,27,ETH-6h-400wks,11-08-2025 09:20
AdaptiveSqueeze,1.49,73.38,-2.85,0.28,0.546,3.35,2.061,16,TSLA-hourly,11-08-2025 09:17
AdaptiveSqueeze,1.49,"1,421",-8.08,0.046,0.074,2.6,0.31,199,AAPL-15m-12Y,11-08-2025 09:17
AdaptiveSqueeze,6.69,426.02,-2.76,0.807,1.375,7,5.155,53,SOL-6h-400wks,11-08-2025 09:17
AdaptiveSqueeze,14.63,410.61,-7.67,0.539,0.904,8.14,1.412,319,SOL-1h-250wks,11-08-2025 09:17
AdaptiveSqueeze,16.23,547.15,-4.93,0.777,1.458,8.81,4.211,113,ETH-6h-400wks,11-08-2025 09:17
AdaptiveSqueeze,1.58,"36,115",-0.99,0.439,1.675,0.06,1.054,7,BTC-1h-500wks,11-08-2025 09:17
AdaptiveSqueeze,2.49,73.38,-2.61,0.502,0.863,14.27,1.08,70,TSLA-hourly,11-08-2025 09:14
AdaptiveSqueeze,2.96,-40.88,-1.68,0.708,1.137,9.96,1.023,50,NVDA-hourly,11-08-2025 09:14
AdaptiveSqueeze,14,426.02,-2.3,1.37,2.36,20.48,3.346,187,SOL-6h-400wks,11-08-2025 09:14
AdaptiveSqueeze,25.76,410.61,-5.92,0.92,1.574,21.66,0.909,1108,SOL-1h-250wks,11-08-2025 09:14
AdaptiveSqueeze,20.72,547.15,-4.67,1.08,2.088,19.19,2.604,297,ETH-6h-400wks,11-08-2025 09:14
AdaptiveSqueeze,7.84,957.6,-11.34,0.241,0.397,21.71,0.614,1312,ETH-1h-250wks,11-08-2025 09:14
AdaptiveSqueeze,2.35,"33,600",-2.38,0.321,0.654,0.77,1.521,17,BTC-6h-1000wks,11-08-2025 09:14
AdaptiveSqueeze,2.35,"36,242",-2.38,0.324,0.66,0.79,1.521,17,BTC-6h-500wks,11-08-2025 09:14
ArbitrageDecomposition,3.36,292.69,-10.05,0.167,0.266,35.56,1.117,24,SOL-1d-1000wks,01-10-1931 12:20
ArbitrageDecomposition,7.24,426.02,-7.22,0.323,0.516,30.69,2.894,25,SOL-6h-400wks,01-10-1931 12:20
ArbitrageDecomposition,15.87,410.61,-6.79,0.666,1.089,37.54,6.107,26,SOL-1h-250wks,01-10-1931 12:20
ArbitrageDecomposition,8.17,730.52,-4.87,0.777,1.347,32.63,7.476,11,SOL-15m-100wks,01-10-1931 12:20
ArbitrageDecomposition,7.73,"13,579",-12.72,0.15,0.211,41.1,1.272,56,ETH-1d-1000wks,01-10-1931 12:20
ArbitrageDecomposition,30.42,547.15,-8.77,0.691,1.067,45.37,5.966,51,ETH-6h-400wks,01-10-1931 12:20
ArbitrageDecomposition,6.03,257.48,-6.16,0.453,0.722,50.33,2.736,22,ETH-15m-150wks,01-10-1931 12:20
ArbitrageDecomposition,3.95,249.6,-3.63,0.563,0.868,55,3.091,13,BTC-1d-100wks,01-10-1931 12:20
ArbitrageDecomposition,16.56,"29,373",-9.63,0.382,0.553,45.22,2.732,61,BTC-1d-1000wks,01-10-1931 12:20
ArbitrageDecomposition,9.75,"33,600",-11.71,0.2,0.299,52.46,1.354,74,BTC-6h-1000wks,01-10-1931 12:20
ArbitrageDecomposition,9.04,"36,242",-11.9,0.186,0.277,51.97,1.293,72,BTC-6h-500wks,01-10-1931 12:20
ArbitrageDecomposition,4.23,"36,115",-13.64,0.103,0.148,38.84,0.818,53,BTC-1h-500wks,01-10-1931 12:20
BandwidthBreakout,6.48,73.38,-1.99,0.841,2.404,2.48,1.756,9,TSLA-hourly,01-10-2028 10:22
BandwidthBreakout,3.26,48.21,-3.62,0.565,1.127,0.92,0.303,15,AAPL-15m-3Y,01-10-2028 10:22
BandwidthBreakout,15.59,"1,421",-3.62,0.565,1.291,0.79,0.341,53,AAPL-15m-12Y,01-10-2028 10:22
BandwidthBreakout,10.33,426.02,-2.9,0.897,1.87,3.26,2.505,25,SOL-6h-400wks,01-10-2028 10:22
BandwidthBreakout,16.73,410.61,-9,0.647,1.194,2.71,0.433,125,SOL-1h-250wks,01-10-2028 10:22
BandwidthBreakout,5.41,730.52,-7.38,0.47,0.723,0.47,0.139,61,SOL-15m-100wks,01-10-2028 10:22
BandwidthBreakout,1.32,"13,579",-1.94,0.093,0.137,1.2,1.386,10,ETH-1d-1000wks,01-10-2028 10:22
BandwidthBreakout,14.02,547.15,-3.3,0.637,1.219,2.29,1.42,39,ETH-6h-400wks,01-10-2028 10:22
BandwidthBreakout,7.38,957.6,-9.43,0.28,0.494,2.6,0.204,139,ETH-1h-250wks,01-10-2028 10:22
BandwidthBreakout,8.16,257.48,-9.1,0.48,0.873,0.69,0.126,98,ETH-15m-150wks,01-10-2028 10:22
BandwidthBreakout,6.11,"29,373",-1.3,0.701,1.537,0.7,4.708,5,BTC-1d-1000wks,01-10-2028 10:22
BandwidthBreakout,14.5,"33,600",-6.99,0.398,0.665,1.32,0.462,44,BTC-6h-1000wks,01-10-2028 10:22
BandwidthBreakout,14.5,"36,242",-6.99,0.401,0.672,1.35,0.462,44,BTC-6h-500wks,01-10-2028 10:22
BandwidthBreakout,29.5,"36,115",-8.63,0.531,0.913,0.99,0.264,148,BTC-1h-500wks,01-10-2028 10:22
BandwidthBreakout,1.76,-40.88,-0.95,0.592,1.209,4.11,0.657,16,NVDA-hourly,01-10-2028 10:20
BandwidthBreakout,1.46,-7.67,-1.06,2.009,3.865,2.91,0.08,9,TSLA-5m-30D,01-10-2028 10:20
BandwidthBreakout,5.8,"1,421",-7.17,0.178,0.31,4.44,0.036,466,AAPL-15m-12Y,01-10-2028 10:20
BandwidthBreakout,3.27,426.02,-3.45,0.463,0.725,4.04,1.789,34,SOL-6h-400wks,01-10-2028 10:20
BandwidthBreakout,2.06,410.61,-4.86,0.151,0.245,3.2,0.05,165,SOL-1h-250wks,01-10-2028 10:20
BandwidthBreakout,5.32,547.15,-2.9,0.414,0.748,2.96,0.994,50,ETH-6h-400wks,01-10-2028 10:20
BandwidthBreakout,1.07,249.6,-0.28,0.821,2.138,3.14,5.293,3,BTC-1d-100wks,01-10-2028 10:20
BandwidthBreakout,2.97,"29,373",-0.31,0.881,1.992,1.72,3.066,13,BTC-1d-1000wks,01-10-2028 10:20
BandwidthBreakout,16.82,"36,115",-7.1,0.523,0.815,2.28,0.121,401,BTC-1h-500wks,01-10-2028 10:20
BarrierDifferentiation,15.16,73.38,-8.08,0.582,0.964,48.34,0.62,62,TSLA-hourly,01-10-2028 11:41
BarrierDifferentiation,3.9,-7.67,-7.54,0.992,2.792,45.6,0.262,21,TSLA-5m-30D,01-10-2028 11:41
BarrierDifferentiation,14.7,292.69,-16.44,0.49,0.771,40.31,5.889,37,SOL-1d-1000wks,01-10-2028 11:41
BarrierDifferentiation,36.47,410.61,-27.37,0.354,0.631,49.1,-0.019,547,SOL-1h-250wks,01-10-2028 11:41
BarrierDifferentiation,22.94,"13,579",-26.89,0.275,0.405,28.41,2.335,106,ETH-1d-1000wks,01-10-2028 11:41
BarrierDifferentiation,67.14,547.15,-16.02,0.709,1.284,52.22,0.723,176,ETH-6h-400wks,01-10-2028 11:41
BarrierDifferentiation,109.08,957.6,-33.62,0.684,1.381,50.09,0.151,627,ETH-1h-250wks,01-10-2028 11:41
BarrierDifferentiation,4.42,257.48,-44.63,0.055,0.093,26.62,0.025,648,ETH-15m-150wks,01-10-2028 11:41
BarrierDifferentiation,66.49,"29,373",-20.24,0.573,0.932,25.36,2.08,112,BTC-1d-1000wks,01-10-2028 11:41
BarrierDifferentiation,27.13,"33,600",-57.73,0.134,0.196,24.96,0.389,392,BTC-6h-1000wks,01-10-2028 11:41
BarrierDifferentiation,32.76,"36,242",-57.74,0.163,0.243,25.16,0.403,388,BTC-6h-500wks,01-10-2028 11:41
BarrierDifferentiation,1.79,145.36,-4.96,0.243,0.404,0.29,0.552,8,BTC-5m-70wks,01-10-2028 11:41
BarrierDifferentiation,8.85,73.38,-7.08,0.687,1.11,78.22,1.193,67,TSLA-hourly,01-10-2028 11:35
BarrierDifferentiation,5.49,48.21,-16.52,0.157,0.235,74.18,-0.007,397,AAPL-15m-3Y,01-10-2028 11:35
BarrierDifferentiation,207.59,"1,421",-17.27,0.759,1.302,72.74,0.124,1480,AAPL-15m-12Y,01-10-2028 11:35
BarrierDifferentiation,33.34,730.52,-34.75,0.449,0.819,77.44,-0.021,1580,SOL-15m-100wks,01-10-2028 11:35
BarrierDifferentiation,12.16,957.6,-26.8,0.174,0.294,77.31,0.055,862,ETH-1h-250wks,01-10-2028 11:35
BarrierDifferentiation,40.01,257.48,-23.71,0.442,0.796,67.9,0.043,1746,ETH-15m-150wks,01-10-2028 11:35
BarrierDifferentiation,1.57,249.6,-3.44,0.317,0.463,85.29,1.177,15,BTC-1d-100wks,01-10-2028 11:35
BarrierDifferentiation,60.7,"33,600",-19.73,0.66,1.143,80.27,0.647,366,BTC-6h-1000wks,01-10-2028 11:35
BarrierDifferentiation,54.49,"36,242",-19.7,0.618,1.062,80.51,0.595,360,BTC-6h-500wks,01-10-2028 11:35
BarrierDifferentiation,41.43,"36,115",-50.51,0.201,0.328,77.8,0.006,1956,BTC-1h-500wks,01-10-2028 11:35
BayesianCointegration,1.21,-40.88,-5.75,0.135,0.2,3.9,0.57,5,NVDA-hourly,01-10-1930 09:03
BayesianCointegration,1.96,292.69,-2.23,0.366,0.634,1.77,21.376,1,SOL-1d-1000wks,01-10-1930 09:03
BayesianCointegration,1.1,426.02,-3.73,0.136,0.214,1.23,0.708,3,SOL-6h-400wks,01-10-1930 09:03
BayesianCointegration,1.9,410.61,-11.43,0.07,0.084,1.47,0.404,24,SOL-1h-250wks,01-10-1930 09:03
BayesianCointegration,5.72,730.52,-4.15,1.053,2.299,0.25,0.999,8,SOL-15m-100wks,01-10-1930 09:03
BayesianCointegration,1.73,"13,579",-0.68,0.318,0.6,0.4,18.516,1,ETH-1d-1000wks,01-10-1930 09:03
BayesianCointegration,4.69,547.15,-8.81,0.159,0.212,2.06,1.748,11,ETH-6h-400wks,01-10-1930 09:03
BayesianCointegration,1.42,957.6,-16.47,0.059,0.079,0.82,0.144,15,ETH-1h-250wks,01-10-1930 09:03
BayesianCointegration,8.61,"33,600",-17.72,0.239,0.348,2.01,2.56,13,BTC-6h-1000wks,01-10-1930 09:03
BayesianCointegration,8.72,"36,242",-17.72,0.259,0.373,1.84,2.784,12,BTC-6h-500wks,01-10-1930 09:03
BayesianCointegration,27.66,"36,115",-17,0.488,0.675,0.82,1.153,36,BTC-1h-500wks,01-10-1930 09:03
BayesianCointegration,1.59,490.65,-1.29,0.583,-,0.03,1.881,1,BTC-15m-150wks,01-10-1930 09:03
BayesianCointegration,1.44,127.77,-1.28,1.044,-,0.08,1.723,1,BTC-USD-15m.csv,01-10-1930 09:03
BayesianCointegration,6.38,22.99,-3.2,1.08,1.958,28,0.754,9,NQ-4h-10Y,01-10-1930 09:02
BayesianCointegration,6.38,22.99,-3.2,1.08,1.958,28,0.754,9,ES-4h-10Y,01-10-1930 09:02
BayesianCointegration,2.55,-7.67,-3.92,1.283,2.73,7.22,0.364,11,TSLA-5m-30D,01-10-1930 09:02
BayesianCointegration,257.88,730.52,-29.04,1.215,3.598,16.25,0.281,664,SOL-15m-100wks,01-10-1930 09:02
BayesianCointegration,2.17,37.98,-1.74,2.318,-,0.03,1.255,2,SOL-1m-8wks,01-10-1930 09:02
BayesianCointegration,6.62,145.36,-14.95,0.319,0.418,0.92,0.167,72,BTC-5m-70wks,01-10-1930 09:02
BayesianPairs,228.83,"29,373",-50.33,0.469,0.792,89.77,"1,959",7,BTC-1d-1000wks,01-10-1930 09:07
BayesianPairs,2,127.77,-0.66,1.902,3.315,96.75,38.409,3,BTC-USD-15m.csv,01-10-1930 09:07
BayesianPairs,12.08,-40.88,-6.88,0.363,2.374,13.34,1.173,51,NVDA-hourly,01-10-1930 09:04
BayesianPairs,5.47,106.06,-10.84,0.275,0.4,43.42,0.035,176,GOOG-hourly,01-10-1930 09:03
BayesianPairs,1.4,22.99,-4.21,0.289,0.443,21.04,0.043,15,NQ-4h-10Y,01-10-1930 09:03
BayesianPairs,1.4,22.99,-4.21,0.289,0.443,21.04,0.043,15,ES-4h-10Y,01-10-1930 09:03
BehavioralContinuation,41.17,73.38,-18.07,1.056,2.302,17.97,0.849,56,TSLA-hourly,01-10-1931 12:24
BehavioralContinuation,5.62,106.06,-6.45,0.499,1.127,2.65,0.98,7,GOOG-hourly,01-10-1931 12:24
BehavioralContinuation,1.84,"1,421",-7.28,0.067,0.103,0.17,-0.014,14,AAPL-15m-12Y,01-10-1931 12:24
BehavioralContinuation,37.66,547.15,-18.66,0.392,0.705,16.52,0.226,313,ETH-6h-400wks,01-10-1931 12:24
