name,description,return,buy_hold,trades,win_rate,max_dd,sharpe,final_equity,avg_trade
GC 30/150 Pyramid,Golden Cross with position scaling,14.670202759999986,122.117823833034,31,32.25806451612903,-5.930991533022468,1.6814787962305389,114670.20275999999,1.8321853484305706
GC 30/150 + SL/TP,Golden Cross with risk management,12.193469923000027,122.117823833034,57,40.35087719298245,-6.591389405659587,1.2914856957311398,112193.46992300003,0.8104640676372954
EMA 30/150,Exponential MAs for faster signals,11.906864580000024,127.64474894081712,31,25.806451612903224,-7.554609881705121,1.3286921306186894,111906.86458000002,1.6360054168509164
GC 30/150 + Volume 2x,Golden Cross with volume breakout,11.736443120000068,122.117823833034,30,36.666666666666664,-5.608906327378538,1.4173701285550036,111736.44312000007,1.4527370112448867
GC 30/150 + RSI + Volume,Triple confirmation entry,6.36591356000003,122.117823833034,51,23.52941176470588,-8.233022978872173,0.8214265638946088,106365.91356000003,0.5393440774818847
GC 30/150 + RSI >60,Golden Cross with RSI momentum filter,6.308865839999984,122.117823833034,50,22.0,-8.876772134427846,0.8172021604497853,106308.86583999998,0.5536918222998954
SMA 15/75,Aggressive short-term trend,3.315655960000062,124.77945821944381,83,25.301204819277107,-13.809456593893277,0.38578147268221086,103315.65596000006,0.20438410557686026
EMA 20/100 + RSI >55,Faster trend following with momentum,-1.0655099999999802,127.64474894081712,99,21.21212121212121,-14.347303964851033,-0.14149404551799624,98934.49000000002,0.041117782869593
