name,return,buy_hold,trades,win_rate,max_dd,sharpe,final_equity
Triple EMA Crossover,6.602015340000013,127.64474894081712,102,23.52941176470588,-37.04384022339775,0.21820724133119315,106602.01534000001
MACD + RSI Combo,-5.96807566000009,127.64474894081712,103,35.92233009708738,-14.473411983432193,-0.4924407457473197,94031.92433999991
Volume Breakout,-23.24956419999992,126.59310890020055,182,24.725274725274726,-36.71301256727936,-1.2526701711873551,76750.43580000008
Bollinger Mean Reversion,-36.922334040000024,126.59310890020055,139,49.64028776978417,-38.16931999044113,-4.366802016059486,63077.66595999998
