config,description,fast,slow,return,buy_hold,trades,win_rate,max_dd,sharpe,avg_trade,final_equity
30/150,Balanced,30,150,34.84838297999999,122.117823833034,30,30.0,-20.110765591756852,0.9518446410776197,1.1803895877466664,134848.38298
10/50,Zeer Responsive,10,50,16.570281300000076,125.56033988965044,112,23.214285714285715,-34.31105642150133,0.47589996527843237,0.13162693319339613,116570.28130000008
50/200,Klassiek (Baseline),50,200,9.016889819999967,118.69509212978717,26,30.76923076923077,-19.99965456912839,0.34447400413450624,0.3240356879620876,109016.88981999997
20/100,Responsive,20,100,5.595653679999988,123.52398545917944,55,21.818181818181817,-35.69697542503549,0.19049527924142245,0.09358223011202149,105595.65367999999
100/300,Conservatief,100,300,-7.0420133999999965,98.75472027186655,15,20.0,-27.6474678028659,-0.3418553536558993,-0.26775672908394554,92957.9866
